radio,mcc,lon,lat,range,averageSignal,radius
GSM,216,18.9632,47.4045,4453,0,1000.0
GSM,216,19.016,47.4531,1192,0,1000.0
GSM,216,19.0131,47.4668,1604,0,1000.0
GSM,216,19.0249,47.479,1711,0,1000.0
GSM,216,19.0201,47.4695,1141,0,1000.0
GSM,216,18.9077,47.4527,5526,0,1000.0
GSM,216,18.904,47.4811,2775,0,1000.0
GSM,216,18.9042,47.4715,2736,0,1000.0
GSM,216,18.9067,47.4519,5722,0,1000.0
GSM,216,18.8748,47.3892,12659,0,1000.0
GSM,216,18.9537,47.4153,2124,0,1000.0
GSM,216,18.9322,47.4433,6379,0,1000.0
GSM,216,18.9421,47.4213,3532,0,1000.0
GSM,216,19.012,47.4009,1957,0,1000.0
GSM,216,19.0963,47.4732,997,0,997.0
GSM,216,19.0877,47.4705,938,0,938.0
GSM,216,19.0985,47.4713,970,0,970.0
GSM,216,19.0956,47.4725,3122,0,1000.0
GSM,216,19.0894,47.4602,1864,0,1000.0
GSM,216,19.1155,47.4469,3744,0,1000.0
GSM,216,19.1905,47.4603,2097,0,1000.0
GSM,216,18.8964,47.4321,1716,0,1000.0
GSM,216,18.9767,47.4023,3334,0,1000.0
GSM,216,19.0254,47.3817,2068,0,1000.0
GSM,216,19.104,47.3768,26661,0,1000.0
GSM,216,19.0655,47.3783,1691,0,1000.0
GSM,216,19.0488,47.3789,2610,0,1000.0
GSM,216,18.8525,47.3825,10162,0,1000.0
GSM,216,18.9166,47.4479,1767,0,1000.0
GSM,216,18.9785,47.4562,1263,0,1000.0
GSM,216,18.9985,47.4608,1374,0,1000.0
GSM,216,19.0219,47.4727,892,0,892.0
GSM,216,18.9209,47.4511,3019,0,1000.0
GSM,216,19.0088,47.4598,1238,0,1000.0
GSM,216,19.0269,47.4779,777,0,777.0
GSM,216,18.9272,47.4443,1355,0,1000.0
GSM,216,18.9713,47.4525,1996,0,1000.0
GSM,216,18.9481,47.4517,2107,0,1000.0
GSM,216,18.9872,47.4555,1420,0,1000.0
GSM,216,19.0275,47.4843,1091,0,1000.0
GSM,216,19.0231,47.4875,780,0,780.0
GSM,216,19.0245,47.5081,692,0,692.0
GSM,216,19.0401,47.5174,1572,0,1000.0
GSM,216,19.0385,47.5067,2730,0,1000.0
GSM,216,19.0396,47.5123,773,0,773.0
GSM,216,19.0757,47.5565,1157,0,1000.0
GSM,216,19.0824,47.5854,986,0,986.0
GSM,216,19.0646,47.5336,1249,0,1000.0
GSM,216,19.0645,47.5342,1290,0,1000.0
GSM,216,19.0667,47.5356,1119,0,1000.0
GSM,216,19.1104,47.6165,1213,0,1000.0
GSM,216,19.0966,47.5919,7291,0,1000.0
GSM,216,19.1004,47.6137,8857,0,1000.0
GSM,216,19.0967,47.6063,1423,0,1000.0
GSM,216,19.0899,47.599,2020,0,1000.0
GSM,216,19.0963,47.5961,5459,0,1000.0
GSM,216,19.0867,47.5929,1318,0,1000.0
GSM,216,19.0831,47.5837,1405,0,1000.0
GSM,216,19.1047,47.6114,2134,0,1000.0
GSM,216,19.0797,47.5697,1441,0,1000.0
GSM,216,19.0771,47.5594,1277,0,1000.0
GSM,216,19.0736,47.5481,500,0,500.0
GSM,216,19.074,47.5495,832,0,832.0
GSM,216,19.0772,47.5475,946,0,946.0
GSM,216,19.0639,47.5327,1190,0,1000.0
GSM,216,19.069,47.5253,1568,0,1000.0
GSM,216,19.0289,47.4977,946,0,946.0
GSM,216,18.9352,47.4514,2165,0,1000.0
GSM,216,18.9311,47.42,1913,0,1000.0
GSM,216,18.9705,47.4029,2271,0,1000.0
GSM,216,19.2614,47.4334,6158,0,1000.0
GSM,216,19.2624,47.425,2453,0,1000.0
GSM,216,19.1444,47.587,1828,0,1000.0
GSM,216,19.1618,47.5709,2718,0,1000.0
GSM,216,19.1322,47.6011,3580,0,1000.0
GSM,216,19.1537,47.5725,2753,0,1000.0
GSM,216,19.0963,47.6085,1156,0,1000.0
GSM,216,19.1041,47.604,2337,0,1000.0
GSM,216,19.0963,47.6053,1559,0,1000.0
